"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","maxcount","f_Cf","f_Df","f_Tf","f_Tp","f_Dp","f_Cp","f_D","f_T","f_C","t_Cf","t_Df","t_Tf","t_Tp","t_Dp","t_Cp","t_D","t_T","t_C"
"6","ctxtA","S30","185.56.227.6","30","D","2016-07-15 18:30:18","0_2_1","0_3_1_2","1","16","2","1","2","3","5","2","1","0","0","2097","2788","2349","4622","3164","2652","443","0","0"
"8","ctxtA","S32","137.56.81.10","32","T","2016-07-15 18:32:35","0_1_2","0_1_2_3","1","35","2","3","5","9","7","8","0","1","0","5917","12327","7445","5194","15429","7115","0","318","0"
"14","ctxtA","S40","2.117.49.178","40","T","2016-07-15 18:54:51","0_1_2","0_1_2_3","1","10","1","1","2","2","1","2","0","1","0","1700","449","775","1215","1135","963","0","493","0"
"19","ctxtA","S44","181.14.120.155","44","T","2016-07-15 19:11:15","0_2_1","0_1_2_3","1","11","1","2","3","2","1","1","0","1","0","3467","9242","10441","5470","9078","5069","0","735","0"
"25","ctxtA","S50","166.137.12.97","50","T","2016-07-15 20:13:38","0_1_2","0_3_1_2","1","12","1","1","2","2","3","2","0","1","0","2308","8124","6153","3448","5519","4201","0","11","0"
"34","ctxtA","S54","129.49.100.21","54","C","2016-07-15 20:30:36","0_2_1","0_3_1_2","1","15","3","1","1","2","3","4","0","0","1","7148","3438","3419","1083","1817","5500","0","0","427"
"42","ctxtA","S56","128.174.222.251","56","C","2016-07-15 20:38:55","0_1_2","0_1_2_3","1","22","3","2","3","6","3","4","0","0","1","5414","6232","5847","5816","6566","10718","0","0","312"
"51","ctxtA","S60","132.235.144.119","60","T","2016-07-15 20:58:41","0_2_1","0_1_2_3","1","41","6","5","9","9","5","6","0","1","0","5890","5594","13133","7120","4116","3432","0","456","0"
"64","ctxtA","S66","64.247.70.48","66","T","2016-07-15 21:57:04","0_1_2","0_3_1_2","1","23","4","2","3","4","5","4","0","1","0","5098","3584","12489","4221","3258","10406","0","1001","0"
"73","ctxtA","S68","94.246.170.66","68","C","2016-07-15 22:24:35","0_2_1","0_1_2_3","1","11","2","2","1","2","1","2","0","0","1","4599","11907","1288","2015","3231","1847","0","0","425"
"79","ctxtA","S70","173.69.255.111","70","T","2016-07-15 22:37:33","0_2_1","0_3_1_2","1","20","4","1","3","5","1","5","0","1","0","8211","4455","7320","7622","1659","9757","0","253","0"
"94","ctxtA","S74","77.251.245.190","74","T","2016-07-15 22:51:52","0_1_2","0_3_1_2","1","22","3","2","2","5","6","3","0","1","0","17239","4649","19498","6562","6183","12240","0","617","0"
"101","ctxtA","S76","66.87.3.53","76","T","2016-07-15 22:55:57","0_2_1","0_1_2_3","1","9","1","2","2","1","1","1","0","1","0","861","3782","1478","2531","1457","2911","0","0","0"
"107","ctxtA","S80","77.11.106.37","80","T","2016-07-16 01:29:41","0_1_2","0_1_2_3","1","18","1","2","4","4","4","2","0","1","0","12370","6124","6943","3633","6945","5996","0","2153","0"
"115","ctxtA","S82","73.171.122.78","82","T","2016-07-16 02:53:56","0_1_2","0_3_1_2","1","16","2","1","3","2","3","3","0","2","0","5915","10657","10783","5339","6527","15057","0","818","0"
"119","ctxtA","S84","108.18.236.14","84","T","2016-07-16 03:42:39","0_2_1","0_1_2_3","1","27","3","3","4","7","4","5","0","1","0","5545","5530","5066","5880","3212","5949","0","4683","0"
