"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","maxcount","f_o_a2","f_p_a2","f_o_a1","f_p_a1","f_o_b2","f_p_b2","f_p_b1","f_o_b1","f_B","f_A","t_o_a2","t_p_a2","t_o_a1","t_p_a1","t_o_b2","t_p_b2","t_p_b1","t_o_b1","t_B","t_A"
"3","ls1","S30","185.56.227.6","30","B","2016-07-15 18:29:29","0_2_1","0_1_2_3_4","1","21","3","2","2","2","4","3","2","2","1","0","3586","3468","1952","3556","2388","1792","3317","1695","544","0"
"7","ls1","S32","137.56.81.10","32","B","2016-07-15 18:30:48","0_1_2","0_1_2_3_4","1","21","3","1","3","2","3","2","2","4","1","0","1889","775","5940","3479","2758","3636","1893","4443","419","0"
"13","ls1","S40","2.117.49.178","40","A","2016-07-15 18:54:38","0_1_2","0_1_2_3_4","1","21","2","5","2","5","2","2","1","1","0","1","1497","2599","984","2018","977","947","382","519","0","487"
"18","ls1","S44","181.14.120.155","44","A","2016-07-15 19:09:47","0_1_2","0_1_2_3_4","1","18","3","2","1","2","4","1","1","2","0","2","5173","6740","945","1445","5788","959","699","6591","0","3235"
"23","ls1","S50","166.137.12.97","50","B","2016-07-15 20:12:38","0_2_1","0_1_2_3_4","1","20","2","2","2","1","4","3","2","3","1","0","7048","4468","2683","2183","5044","8202","11206","3419","12","0"
"33","ls1","S54","129.49.100.21","54","B","2016-07-15 20:29:32","0_2_1","0_1_2_3_4","1","30","2","4","2","4","2","5","6","3","2","0","1666","5416","1452","1880","1201","6232","4224","3122","1688","0"
"39","ls1","S56","128.174.222.251","56","A","2016-07-15 20:37:07","0_1_2","0_1_2_3_4","1","19","3","1","5","2","2","1","1","3","0","1","2688","1032","6597","1688","1112","664","840","1552","0","216"
"50","ls1","S60","132.235.144.119","60","B","2016-07-15 20:57:02","0_1_2","0_1_2_3_4","1","25","1","1","3","7","1","1","5","5","1","0","726","1027","3341","4975","406","1462","15519","8387","290","0"
"62","ls1","S66","64.247.70.48","66","A","2016-07-15 21:56:01","0_2_1","0_1_2_3_4","1","41","3","3","4","4","5","3","8","9","0","2","2532","2282","2367","3248","2325","1771","5277","4182","0","620"
"71","ls1","S68","94.246.170.66","68","B","2016-07-15 22:23:03","0_1_2","0_1_2_3_4","1","31","4","4","4","3","5","3","2","3","2","1","2453","2320","3415","4433","2702","1774","1087","2081","754","319"
"78","ls1","S70","173.69.255.111","70","A","2016-07-15 22:35:37","0_2_1","0_1_2_3_4","1","16","2","2","2","2","1","1","2","2","0","2","1426","1601","1786","8344","895","982","2155","1227","0","2131"
"87","ls1","S72","200.113.201.134","72","","2016-07-15 22:41:59","0_1_2","0_1_2_3_4","1","8","1","1","1","1","1","1","1","1","0","0","2328","3557","3481","3292","5542","3346","3321","3833","0","0"
"93","ls1","S74","77.251.245.190","74","A","2016-07-15 22:49:53","0_2_1","0_1_2_3_4","1","18","4","2","3","2","2","2","1","1","0","1","4255","22328","3991","3365","1630","4441","2298","3851","0","584"
"99","ls1","S76","66.87.3.53","76","A","2016-07-15 22:55:15","0_1_2","0_1_2_3_4","1","11","1","1","1","1","1","2","2","1","0","1","2576","656","753","3477","1416","4687","1863","1440","0","0"
"106","ls1","S80","77.11.106.37","80","A","2016-07-16 01:28:29","0_1_2","0_1_2_3_4","1","24","4","3","4","2","4","2","0","3","0","2","2689","2654","2181","1091","4955","2828","0","3086","0","1023"
"112","ls1","S82","73.171.122.78","82","A","2016-07-16 02:52:05","0_2_1","0_1_2_3_4","1","36","2","2","3","4","5","4","7","8","0","1","1462","1285","2745","3195","4160","11741","23552","7292","0","676"
"118","ls1","S84","108.18.236.14","84","A","2016-07-16 03:41:22","0_1_2","0_1_2_3_4","1","8","1","1","1","1","1","0","1","1","0","1","895","1721","1493","4465","509","0","763","866","0","537"
